Time,Open,High,Low,Close,Volume
01.02.2012 01:00:00.000,1.30761,1.30828,1.30740,1.30828,321.03
01.02.2012 01:01:00.000,1.30830,1.30830,1.30804,1.30806,211.94
01.02.2012 01:02:00.000,1.30806,1.30806,1.30720,1.30720,307.14
01.02.2012 01:03:00.000,1.30722,1.30730,1.30645,1.30660,311.42
01.02.2012 01:04:00.000,1.30660,1.30690,1.30649,1.30679,275.89
01.02.2012 01:05:00.000,1.30679,1.30702,1.30678,1.30695,224.69
01.02.2012 01:06:00.000,1.30695,1.30699,1.30662,1.30671,243.34
01.02.2012 01:07:00.000,1.30667,1.30669,1.30648,1.30651,164.11
01.02.2012 01:08:00.000,1.30650,1.30651,1.30635,1.30649,192.71
01.02.2012 01:09:00.000,1.30655,1.30710,1.30654,1.30709,275.19
01.02.2012 01:10:00.000,1.30712,1.30773,1.30710,1.30770,314.94
01.02.2012 01:11:00.000,1.30770,1.30770,1.30730,1.30730,185.96
01.02.2012 01:12:00.000,1.30730,1.30760,1.30728,1.30755,186.11
01.02.2012 01:13:00.000,1.30756,1.30765,1.30749,1.30750,175.82
01.02.2012 01:14:00.000,1.30750,1.30770,1.30743,1.30760,193.97
01.02.2012 01:15:00.000,1.30763,1.30785,1.30763,1.30769,162.78
01.02.2012 01:16:00.000,1.30767,1.30777,1.30764,1.30764,169.07
01.02.2012 01:17:00.000,1.30767,1.30772,1.30749,1.30750,179.60
01.02.2012 01:18:00.000,1.30750,1.30750,1.30728,1.30728,170.24
01.02.2012 01:19:00.000,1.30728,1.30744,1.30716,1.30744,269.23
01.02.2012 01:20:00.000,1.30744,1.30759,1.30738,1.30759,197.24
01.02.2012 01:21:00.000,1.30759,1.30760,1.30743,1.30758,172.83
01.02.2012 01:22:00.000,1.30758,1.30767,1.30672,1.30672,298.29
01.02.2012 01:23:00.000,1.30679,1.30679,1.30638,1.30668,258.55
01.02.2012 01:24:00.000,1.30671,1.30672,1.30650,1.30657,212.19
01.02.2012 01:25:00.000,1.30659,1.30664,1.30629,1.30638,222.08
01.02.2012 01:26:00.000,1.30639,1.30659,1.30631,1.30654,225.34
01.02.2012 01:27:00.000,1.30656,1.30679,1.30643,1.30679,213.50
01.02.2012 01:28:00.000,1.30679,1.30679,1.30644,1.30645,163.41
01.02.2012 01:29:00.000,1.30646,1.30683,1.30642,1.30680,174.90
01.02.2012 01:30:00.000,1.30680,1.30680,1.30660,1.30675,114.45
01.02.2012 01:31:00.000,1.30675,1.30692,1.30669,1.30671,104.14
01.02.2012 01:32:00.000,1.30671,1.30689,1.30669,1.30681,153.87
01.02.2012 01:33:00.000,1.30679,1.30680,1.30649,1.30649,196.98
01.02.2012 01:34:00.000,1.30650,1.30655,1.30638,1.30646,166.84
01.02.2012 01:35:00.000,1.30646,1.30658,1.30645,1.30649,147.68
01.02.2012 01:36:00.000,1.30649,1.30659,1.30646,1.30646,93.99
01.02.2012 01:37:00.000,1.30644,1.30644,1.30567,1.30570,326.13
